,Outstanding_Debt,Annual_Income,Monthly_Inhand_Salary,Credit_History_Age,Interest_Rate,Monthly_Balance,Delay_from_due_date,Total_EMI_per_month,Changed_Credit_Limit,Num_of_Loan,Credit_Score
16,1328.93,33751.27,2948.605833333333,236.0,20.0,444.4252395051343,16.0,65.00817428651536,11.0,3.0,Standard
17,1328.93,33751.27,2948.605833333333,237.0,20.0,443.88279713203934,16.0,65.00817428651536,11.0,3.0,Standard
18,179.22,54392.16,4766.68,322.0,14.0,378.54048018698535,10.0,124.39208242092045,5.54,3.0,Standard
19,179.22,54392.16,4766.68,323.0,14.0,459.52405345965286,10.0,124.39208242092045,4.54,3.0,Standard
20,179.22,54392.16,4766.68,324.0,14.0,558.9263489897351,15.0,124.39208242092045,5.54,3.0,Standard
21,179.22,54392.16,4766.68,326.0,14.0,409.15747216385233,10.0,124.39208242092045,11.54,3.0,Standard
22,179.22,54392.16,4766.68,328.0,14.0,464.1635141118658,10.0,124.39208242092045,5.54,3.0,Standard
23,758.44,25546.26,2415.855,218.0,14.0,337.1522635235368,16.0,101.3286373638512,7.83,5.0,Standard
24,758.44,25546.26,2415.855,220.0,14.0,319.0402758742555,16.0,101.3286373638512,7.83,5.0,Standard
25,758.44,25546.26,2415.855,221.0,14.0,306.54211214470297,16.0,101.3286373638512,7.83,5.0,Standard
26,758.44,25546.26,2415.855,223.0,14.0,338.52611416415374,16.0,101.3286373638512,7.83,5.0,Standard
27,758.44,25546.26,2415.855,224.0,14.0,299.9564688659588,16.0,101.3286373638512,10.83,5.0,Standard
28,758.44,25546.26,2415.855,225.0,14.0,230.44100130267208,15.0,101.3286373638512,7.83,5.0,Standard
29,818.22,31993.78,2942.148333333333,202.0,7.0,447.0747000515962,8.0,45.14129822463578,6.28,2.0,Standard
30,818.22,31993.78,2942.148333333333,204.0,7.0,274.8164466052998,8.0,45.14129822463578,10.28,2.0,Standard
31,818.22,31993.78,2942.148333333333,205.0,7.0,376.6212092263812,8.0,45.14129822463578,6.28,2.0,Standard
32,818.22,31993.78,2942.148333333333,206.0,7.0,455.6031264418064,8.0,45.14129822463578,6.28,2.0,Standard
33,818.22,31993.78,2942.148333333333,207.0,7.0,396.3496476766012,8.0,45.14129822463578,6.28,2.0,Standard
34,818.22,31993.78,2942.148333333333,208.0,7.0,404.5162989178708,8.0,45.14129822463578,6.28,2.0,Standard
35,818.22,31993.78,2942.148333333333,209.0,7.0,421.4853318638867,8.0,45.14129822463578,6.28,2.0,Standard
36,1283.37,32284.62,2898.385,77.0,17.0,211.93932455566463,11.0,103.03756035536594,9.22,6.0,Standard
37,1283.37,32284.62,2898.385,78.0,17.0,353.59063222806395,11.0,103.03756035536594,9.22,6.0,Standard
38,1283.37,32284.62,2898.385,79.0,17.0,391.00737123047446,10.0,103.03756035536594,9.22,6.0,Standard
39,1283.37,32284.62,2898.385,80.0,17.0,196.582685885413,11.0,103.03756035536594,9.22,6.0,Standard
40,1283.37,32284.62,2898.385,81.0,17.0,292.7811904266044,15.0,103.03756035536594,8.22,6.0,Standard
41,1283.37,32284.62,2898.385,82.0,17.0,204.5273897322577,11.0,103.03756035536594,8.22,6.0,Standard
42,2430.21,19300.34,1512.361666666667,218.0,17.0,312.4876885895601,52.0,49.57206224445275,9.95,5.0,Poor
43,2430.21,19300.34,1512.361666666667,219.0,17.0,306.3658914338209,51.0,49.57206224445275,9.95,5.0,Poor
44,2430.21,19300.34,1512.361666666667,220.0,17.0,230.84550850494605,48.0,49.57206224445275,15.95,5.0,Poor
45,2430.21,19300.34,1512.361666666667,221.0,17.0,300.23607454743546,51.0,49.57206224445275,9.95,5.0,Standard
46,2430.21,19300.34,1512.361666666667,222.0,17.0,218.62155364562184,51.0,49.57206224445275,9.95,5.0,Poor
47,2430.21,19300.34,1512.361666666667,223.0,17.0,288.21665559341204,51.0,49.57206224445275,9.95,5.0,Poor
48,2430.21,19300.34,1512.361666666667,224.0,17.0,250.68861456434425,51.0,49.57206224445275,8.95,5.0,Poor
49,1672.43,10183.015,1074.5845833333333,121.0,17.0,295.2476462600903,48.0,37.58807283812568,8.969999999999997,5.0,Poor
50,1672.43,10183.015,1074.5845833333333,122.0,17.0,267.5084354759118,48.0,37.58807283812568,7.97,5.0,Poor
51,1672.43,10183.015,1074.5845833333333,124.0,17.0,283.0599697439025,43.0,37.58807283812568,7.97,5.0,Standard
52,1672.43,10183.015,1074.5845833333333,125.0,17.0,294.03912385443914,51.0,37.58807283812568,7.97,5.0,Poor
53,1672.43,10183.015,1074.5845833333333,127.0,17.0,298.00665791718154,52.0,37.58807283812568,7.97,5.0,Poor
54,1672.43,10183.015,1074.5845833333333,128.0,17.0,288.747638140847,48.0,37.58807283812568,7.97,5.0,Poor
55,614.6,20787.69,1999.3075,221.0,14.0,375.96322611424887,22.0,42.22199265643221,8.129999999999999,3.0,Standard
56,2686.81,34290.12,2697.51,165.0,25.0,196.5585016421765,47.0,185.1119825795006,13.96,7.0,Standard
57,2686.81,34290.12,2697.51,166.0,25.0,274.0494813296189,52.0,185.1119825795006,12.96,7.0,Standard
58,2686.81,34290.12,2697.51,167.0,25.0,255.16424338366824,52.0,185.1119825795006,13.96,7.0,Poor
59,2686.81,34290.12,2697.51,171.0,25.0,249.72180093760983,52.0,185.1119825795006,13.96,7.0,Poor
60,1793.54,18627.64,1387.303333333333,225.0,19.0,275.15086221005004,31.0,65.13948777561222,5.07,6.0,Poor
61,1793.54,18627.64,1387.303333333333,226.0,19.0,299.757585750281,31.0,65.13948777561222,5.07,6.0,Poor
62,1793.54,18627.64,1387.303333333333,227.0,19.0,258.441696002076,31.0,65.13948777561222,5.07,6.0,Poor
63,1793.54,18627.64,1387.303333333333,228.0,19.0,277.7994566527644,31.0,65.13948777561222,5.07,6.0,Standard
64,1793.54,18627.64,1387.303333333333,229.0,19.0,289.24465715224005,31.0,65.13948777561222,5.07,6.0,Poor
65,1793.54,18627.64,1387.303333333333,230.0,19.0,243.998813262945,31.0,65.13948777561222,6.07,6.0,Poor
66,1793.54,18627.64,1387.303333333333,232.0,19.0,264.7866558188465,31.0,65.13948777561222,5.07,6.0,Poor
67,556.91,42171.98,3764.331666666667,257.0,10.0,466.9588768571167,4.0,102.7629131170904,9.58,3.0,Standard
68,556.91,42171.98,3764.331666666667,258.0,10.0,426.6872521022305,4.0,102.7629131170904,2.58,3.0,Standard
69,556.91,42171.98,3764.331666666667,259.0,10.0,446.1034972358877,4.0,102.7629131170904,2.58,3.0,Standard
70,556.91,42171.98,3764.331666666667,261.0,10.0,373.3570665655803,4.0,102.7629131170904,2.58,3.0,Good
71,556.91,42171.98,3764.331666666667,263.0,10.0,431.0904514153552,4.0,102.7629131170904,2.58,3.0,Good
72,556.91,42171.98,3764.331666666667,264.0,10.0,378.27101101142586,4.0,102.7629131170904,2.58,3.0,Standard
73,1293.02,71681.4,5799.45,308.0,15.0,638.6903434079869,8.0,53.92351397165268,10.44,1.0,Standard
74,1293.02,71681.4,5799.45,309.0,15.0,562.7017640915751,8.0,53.92351397165268,10.44,1.0,Standard
75,1293.02,71681.4,5799.45,310.0,15.0,645.13134398301,4.0,53.92351397165268,10.44,1.0,Good
76,1293.02,71681.4,5799.45,312.0,15.0,391.1249366446912,5.0,53.92351397165268,10.44,1.0,Good
77,1293.02,71681.4,5799.45,313.0,15.0,642.6718243437651,8.0,53.92351397165268,4.44,1.0,Good
78,1293.02,71681.4,5799.45,314.0,15.0,510.20959003413424,8.0,53.92351397165268,10.44,1.0,Good
79,1173.7,72559.36,6284.613333333334,336.0,17.0,456.9011727399487,14.0,215.83917063897167,2.74,4.0,Standard
80,1173.7,72559.36,6284.613333333334,337.0,17.0,322.152188516329,18.0,215.83917063897167,2.74,4.0,Standard
81,1173.7,72559.36,6284.613333333334,338.0,17.0,393.9234502273519,14.0,215.83917063897167,2.74,4.0,Standard
82,1173.7,72559.36,6284.613333333334,339.0,17.0,535.3119037936099,14.0,215.83917063897167,2.74,4.0,Standard
83,1173.7,72559.36,6284.613333333334,340.0,17.0,489.6599851654931,16.0,215.83917063897167,2.74,4.0,Standard
84,1173.7,72559.36,6284.613333333334,341.0,17.0,580.1252964342092,14.0,215.83917063897167,2.74,4.0,Standard
85,1173.7,72559.36,6284.613333333334,342.0,17.0,556.9042896166172,15.0,215.83917063897167,2.74,4.0,Standard
86,233.79,66567.32,5800.276666666668,291.0,5.0,518.1908835490624,7.0,100.18936089086122,7.67,2.0,Standard
87,233.79,66567.32,5800.276666666668,292.0,5.0,217.79609612955545,7.0,100.18936089086122,5.67,2.0,Standard
88,233.79,66567.32,5800.276666666668,293.0,5.0,217.79609612955545,7.0,100.18936089086122,5.67,2.0,Standard
89,233.79,66567.32,5800.276666666668,294.0,5.0,222.9194043444149,7.0,100.18936089086122,4.67,2.0,Standard
90,233.79,66567.32,5800.276666666668,295.0,5.0,580.3130008200893,7.0,100.18936089086122,5.67,2.0,Standard
91,233.79,66567.32,5800.276666666668,296.0,5.0,663.0604357569674,7.0,100.18936089086122,5.67,2.0,Standard
92,233.79,66567.32,5800.276666666668,297.0,5.0,663.149947525053,7.0,100.18936089086122,5.67,2.0,Standard
93,233.79,66567.32,5800.276666666668,298.0,5.0,636.9940772304436,7.0,100.18936089086122,5.67,2.0,Standard
94,680.77,87215.68,7489.973333333332,249.0,8.0,760.3649552023904,6.0,121.68201673654264,10.98,2.0,Standard
95,680.77,87215.68,7489.973333333332,253.0,8.0,694.2209473793729,6.0,121.68201673654264,9.98,2.0,Good
96,125.25,36822.29,3132.524166666666,297.0,6.0,386.0433278085868,14.0,95.8007129241996,5.79,4.0,Standard
97,125.25,36822.29,3132.524166666666,298.0,6.0,354.50760409580084,14.0,95.8007129241996,5.79,4.0,Standard
98,125.25,36822.29,3132.524166666666,299.0,6.0,383.5191644025956,14.0,95.8007129241996,5.79,4.0,Good
99,125.25,36822.29,3132.524166666666,300.0,6.0,352.9692673148552,14.0,95.8007129241996,5.79,4.0,Good
100,125.25,36822.29,3132.524166666666,301.0,6.0,429.3376490850176,16.0,95.8007129241996,5.79,4.0,Good
101,125.25,36822.29,3132.524166666666,302.0,6.0,425.9218905014295,14.0,95.8007129241996,5.79,4.0,Good
102,125.25,36822.29,3132.524166666666,303.0,6.0,245.4682923281264,15.0,95.8007129241996,5.79,4.0,Good
103,1037.45,60162.1,5197.508333333333,158.0,5.0,469.5244602457725,18.0,220.2137267039484,14.79,7.0,Standard
104,1037.45,60162.1,5197.508333333333,159.0,5.0,396.0895664351806,18.0,220.2137267039484,14.79,7.0,Standard
105,1037.45,60162.1,5197.508333333333,160.0,5.0,364.98395809224434,18.0,220.2137267039484,18.79,7.0,Standard
106,1037.45,60162.1,5197.508333333333,161.0,5.0,213.15128193436323,18.0,220.2137267039484,14.79,7.0,Standard
107,1037.45,60162.1,5197.508333333333,162.0,5.0,452.69243352775385,17.0,220.2137267039484,14.79,7.0,Standard
108,1037.45,60162.1,5197.508333333333,164.0,5.0,451.8138963143547,18.0,220.2137267039484,14.79,7.0,Standard
109,1037.45,60162.1,5197.508333333333,165.0,5.0,347.77063920563216,18.0,220.2137267039484,12.79,7.0,Standard
110,580.31,30390.44,2721.5366666666664,291.0,5.0,407.29362817352256,19.0,64.84803820501804,8.36,4.0,Standard
111,580.31,30390.44,2721.5366666666664,293.0,5.0,327.4436391537588,19.0,64.84803820501804,8.36,4.0,Standard
112,580.31,30390.44,2721.5366666666664,294.0,5.0,396.3910318073632,19.0,64.84803820501804,8.36,4.0,Standard
113,580.31,30390.44,2721.5366666666664,295.0,5.0,307.42925415086404,15.0,64.84803820501804,8.36,4.0,Standard
114,580.31,30390.44,2721.5366666666664,296.0,5.0,271.38584039372057,16.0,64.84803820501804,8.36,4.0,Standard
115,580.31,30390.44,2721.5366666666664,297.0,5.0,378.5195194947904,19.0,64.84803820501804,13.36,4.0,Standard
116,2497.48,45207.54,3507.295,196.0,24.0,401.9859971911333,21.0,148.91327341500903,9.78,6.0,Poor
117,2497.48,45207.54,3507.295,198.0,24.0,407.1341930922901,26.0,148.91327341500903,4.779999999999999,6.0,Poor
118,2497.48,45207.54,3507.295,199.0,24.0,320.7200585736892,21.0,148.91327341500903,9.78,6.0,Poor
119,2497.48,45207.54,3507.295,200.0,24.0,362.72912819760046,25.0,148.91327341500903,9.78,6.0,Poor
120,2497.48,45207.54,3507.295,202.0,24.0,306.9534680498265,22.0,148.91327341500903,9.78,6.0,Poor
121,523.56,30346.35,2651.8625,100.0,14.0,313.35659490235275,27.0,96.72128021256924,18.8,7.0,Standard
122,523.56,30346.35,2651.8625,103.0,14.0,319.84361127377355,24.0,96.72128021256924,18.8,7.0,Standard
123,523.56,30346.35,2651.8625,104.0,14.0,322.0163948345707,29.0,96.72128021256924,18.8,7.0,Standard
124,523.56,30346.35,2651.8625,105.0,14.0,306.85536971301985,27.0,96.72128021256924,18.8,7.0,Standard
125,523.56,30346.35,2651.8625,107.0,14.0,389.4197766047106,29.0,96.72128021256924,18.8,7.0,Standard
126,1093.87,17001.34,1214.7783333333334,207.0,5.0,293.3867642130591,11.0,10.535555607461252,5.62,1.0,Standard
127,1093.87,17001.34,1214.7783333333334,208.0,5.0,269.9710581101004,11.0,10.535555607461252,5.62,1.0,Standard
128,1093.87,17001.34,1214.7783333333334,209.0,5.0,349.0370930232421,10.0,10.535555607461252,12.62,1.0,Poor
129,1093.87,17001.34,1214.7783333333334,210.0,5.0,243.5030775253701,10.0,10.535555607461252,5.62,1.0,Poor
130,1093.87,17001.34,1214.7783333333334,211.0,5.0,349.69652957988177,7.0,10.535555607461252,5.62,1.0,Standard
131,1093.87,17001.34,1214.7783333333334,212.0,5.0,310.3498647316844,10.0,10.535555607461252,5.62,1.0,Standard
132,1093.87,17001.34,1214.7783333333334,213.0,5.0,301.6478199340761,5.0,10.535555607461252,5.62,1.0,Standard
133,3818.57,44719.17,3969.5975,155.0,29.0,268.1086390702124,41.0,248.599885855438,23.21,7.0,Poor
134,3818.57,44719.17,3969.5975,157.0,29.0,289.887858089722,47.0,248.599885855438,23.21,7.0,Poor
135,3818.57,44719.17,3969.5975,160.0,29.0,281.89593715207883,46.0,248.599885855438,23.21,7.0,Poor
136,3818.57,44719.17,3969.5975,162.0,29.0,282.5953720880596,46.0,248.599885855438,23.21,7.0,Poor
137,730.9,17787.34,1242.2783333333334,358.0,16.0,329.2701262935263,5.0,20.06363388435491,5.65,2.0,Standard
138,730.9,17787.34,1242.2783333333334,360.0,16.0,325.6481558257138,6.0,20.06363388435491,5.65,2.0,Standard
139,730.9,17787.34,1242.2783333333334,361.0,16.0,236.61172725961384,5.0,20.06363388435491,5.65,2.0,Standard
140,730.9,17787.34,1242.2783333333334,362.0,16.0,265.0158122010706,7.0,20.06363388435491,5.65,2.0,Standard
141,730.9,17787.34,1242.2783333333334,363.0,16.0,294.17785208095006,5.0,20.06363388435491,5.65,2.0,Standard
142,730.9,17787.34,1242.2783333333334,364.0,16.0,342.45038316560573,5.0,20.06363388435491,5.65,2.0,Standard
143,660.69,39800.12,3047.6766666666667,214.0,12.0,356.4169267271625,17.0,58.48765733950958,18.53,3.0,Standard
144,660.69,39800.12,3047.6766666666667,217.0,12.0,444.1793784993301,17.0,58.48765733950958,18.53,3.0,Standard
145,660.69,39800.12,3047.6766666666667,218.0,12.0,375.23588691498566,17.0,58.48765733950958,18.53,3.0,Standard
146,660.69,39800.12,3047.6766666666667,219.0,12.0,453.98577146222567,17.0,58.48765733950958,16.53,3.0,Standard
147,660.69,39800.12,3047.6766666666667,220.0,12.0,251.82376063810585,17.0,58.48765733950958,11.53,3.0,Standard
148,1113.06,108147.3,8926.275,345.0,6.0,612.9678756761531,14.0,211.1795815692456,7.57,4.0,Standard
149,1113.06,108147.3,8926.275,347.0,6.0,804.9148020346566,14.0,211.1795815692456,7.57,4.0,Standard
150,1113.06,108147.3,8926.275,348.0,6.0,778.6118202527321,14.0,211.1795815692456,7.57,4.0,Standard
151,1113.06,108147.3,8926.275,349.0,6.0,736.8553867742527,14.0,211.1795815692456,7.57,4.0,Standard
152,1113.06,108147.3,8926.275,350.0,6.0,808.7443365846841,14.0,211.1795815692456,7.57,4.0,Standard
153,1113.06,108147.3,8926.275,351.0,6.0,565.0150300641279,13.0,211.1795815692456,3.5700000000000003,4.0,Good
154,585.05,85328.73,6858.7275,379.0,11.0,712.3229995210659,11.0,68.4589661120162,1.83,1.0,Good
155,585.05,85328.73,6858.7275,380.0,11.0,750.8260452347992,12.0,68.4589661120162,6.83,1.0,Good
156,2593.44,56803.71,4620.6425,71.0,25.0,370.501173079624,46.0,187.190218862138,16.23,6.0,Standard
157,330.17,15015.4,1213.2833333333333,259.0,9.0,307.52847498773326,23.0,11.685734566072789,5.04,1.0,Poor
158,330.17,15015.4,1213.2833333333333,260.0,9.0,324.4985930508325,25.0,11.685734566072789,5.04,1.0,Poor
159,330.17,15015.4,1213.2833333333333,261.0,9.0,351.3839460098615,25.0,11.685734566072789,5.04,1.0,Poor
160,330.17,15015.4,1213.2833333333333,263.0,9.0,263.1471434205764,21.0,11.685734566072789,5.04,1.0,Poor
161,330.17,15015.4,1213.2833333333333,264.0,9.0,348.90466567424363,23.0,11.685734566072789,5.04,1.0,Poor
162,330.17,15015.4,1213.2833333333333,265.0,9.0,255.98902485812383,25.0,11.685734566072789,5.04,1.0,Poor
163,330.17,15015.4,1213.2833333333333,266.0,9.0,237.06729038214257,27.0,11.685734566072789,5.04,1.0,Standard
164,687.87,30536.62,2430.718333333333,184.0,7.0,353.3703981178386,19.0,42.97244101951375,9.33,2.0,Standard
165,687.87,30536.62,2430.718333333333,185.0,7.0,374.3391031921161,19.0,42.97244101951375,9.33,2.0,Standard
166,687.87,30536.62,2430.718333333333,186.0,7.0,413.45796801278703,19.0,42.97244101951375,9.33,2.0,Standard
167,687.87,30536.62,2430.718333333333,187.0,7.0,349.91169789308134,19.0,42.97244101951375,9.33,2.0,Standard
168,687.87,30536.62,2430.718333333333,188.0,7.0,354.51489478456153,19.0,42.97244101951375,4.33,2.0,Poor
169,687.87,30536.62,2430.718333333333,189.0,7.0,352.5875561134318,19.0,42.97244101951375,9.33,2.0,Poor
170,687.87,30536.62,2430.718333333333,190.0,7.0,366.6393790663449,19.0,42.97244101951375,5.33,2.0,Poor
171,687.87,30536.62,2430.718333333333,191.0,7.0,262.11095925023466,19.0,42.97244101951375,9.33,2.0,Standard
172,2103.99,18717.02,1294.7516666666668,184.0,15.0,186.545008081936,14.0,60.64699329311761,10.3,5.0,Poor
173,2103.99,18717.02,1294.7516666666668,185.0,15.0,307.159951837005,9.0,60.64699329311761,10.3,5.0,Poor
174,2103.99,18717.02,1294.7516666666668,186.0,15.0,275.1046938747583,9.0,60.64699329311761,9.3,5.0,Poor
175,2103.99,18717.02,1294.7516666666668,187.0,15.0,257.819628268703,11.0,60.64699329311761,10.3,5.0,Standard
176,2103.99,18717.02,1294.7516666666668,188.0,15.0,278.9226741337397,9.0,60.64699329311761,10.3,5.0,Standard
177,2103.99,18717.02,1294.7516666666668,189.0,15.0,274.9008230854633,9.0,60.64699329311761,10.3,5.0,Standard
178,2103.99,18717.02,1294.7516666666668,190.0,15.0,276.43446221374506,7.0,60.64699329311761,10.3,5.0,Poor
179,2103.99,18717.02,1294.7516666666668,191.0,15.0,292.1077242171345,4.0,60.64699329311761,15.3,5.0,Standard
180,2008.06,19065.32,1497.7766666666666,199.0,5.0,290.0437128884618,23.0,76.21247400832009,7.81,5.0,Standard
181,2008.06,19065.32,1497.7766666666666,200.0,5.0,292.59620985953256,23.0,76.21247400832009,7.81,5.0,Standard
182,2008.06,19065.32,1497.7766666666666,201.0,5.0,290.6817744347797,23.0,76.21247400832009,7.81,5.0,Standard
183,2008.06,19065.32,1497.7766666666666,202.0,5.0,256.14192152492853,23.0,76.21247400832009,7.81,5.0,Standard
184,2008.06,19065.32,1497.7766666666666,203.0,5.0,197.32075178579743,23.0,76.21247400832009,7.81,5.0,Standard
185,2008.06,19065.32,1497.7766666666666,204.0,5.0,269.36014398210364,23.0,76.21247400832009,7.81,5.0,Standard
186,2008.06,19065.32,1497.7766666666666,205.0,5.0,288.03270987867285,27.0,76.21247400832009,13.81,5.0,Standard
187,2008.06,19065.32,1497.7766666666666,206.0,5.0,260.52422868912305,23.0,76.21247400832009,11.81,5.0,Standard
188,195.38,24585.55,2316.795833333333,321.0,14.0,397.965563320336,9.0,30.447776935964107,11.35,2.0,Standard
189,195.38,24585.55,2316.795833333333,322.0,14.0,352.18582210185826,9.0,30.447776935964107,11.35,2.0,Standard
190,195.38,24585.55,2316.795833333333,323.0,14.0,392.41249301497743,9.0,30.447776935964107,11.35,2.0,Standard
191,195.38,24585.55,2316.795833333333,324.0,14.0,390.7634103873663,9.0,30.447776935964107,11.35,2.0,Standard
192,195.38,24585.55,2316.795833333333,325.0,14.0,410.2720136208357,9.0,30.447776935964107,16.35,2.0,Standard
193,195.38,24585.55,2316.795833333333,326.0,14.0,381.8456764148999,10.0,30.447776935964107,11.35,2.0,Standard
194,195.38,24585.55,2316.795833333333,327.0,14.0,295.64619444752225,9.0,30.447776935964107,11.35,2.0,Standard
195,195.38,24585.55,2316.795833333333,328.0,14.0,405.1549233235749,9.0,30.447776935964107,11.35,2.0,Standard
196,1403.17,15013.73,1127.1441666666667,141.0,14.0,265.9570402247887,23.0,51.547924156742056,8.22,6.0,Standard
197,1403.17,15013.73,1127.1441666666667,142.0,14.0,213.15775122948185,18.0,51.547924156742056,8.22,6.0,Standard
198,1403.17,15013.73,1127.1441666666667,144.0,14.0,221.63935921709373,23.0,51.547924156742056,8.22,6.0,Standard
199,1403.17,15013.73,1127.1441666666667,145.0,14.0,199.9411655072617,23.0,51.547924156742056,8.22,6.0,Standard
200,1403.17,15013.73,1127.1441666666667,146.0,14.0,279.48753391122443,23.0,51.547924156742056,8.22,6.0,Standard
201,1403.17,15013.73,1127.1441666666667,147.0,14.0,301.60151730112364,19.0,51.547924156742056,8.22,6.0,Standard
202,1403.17,15013.73,1127.1441666666667,148.0,14.0,273.6767523987052,23.0,51.547924156742056,8.22,6.0,Standard
203,605.34,102885.32,8643.776666666667,348.0,16.0,742.0750422884382,13.0,74.1586635323227,10.31,1.0,Standard
204,605.34,102885.32,8643.776666666667,349.0,16.0,532.3874699663513,14.0,74.1586635323227,10.31,1.0,Standard
205,605.34,102885.32,8643.776666666667,350.0,16.0,584.587976688445,14.0,74.1586635323227,10.31,1.0,Standard
206,605.34,102885.32,8643.776666666667,351.0,16.0,814.5845453946312,14.0,74.1586635323227,10.31,1.0,Standard
207,512.38,34212.01,2847.000833333333,335.0,10.0,237.78389818480733,21.0,66.6764133130149,8.12,3.0,Standard
208,512.38,34212.01,2847.000833333333,337.0,10.0,292.62787126476,18.0,66.6764133130149,8.12,3.0,Standard
209,512.38,34212.01,2847.000833333333,338.0,10.0,327.31686744999166,18.0,66.6764133130149,8.12,3.0,Standard
210,512.38,34212.01,2847.000833333333,339.0,10.0,431.7535852159525,16.0,66.6764133130149,8.12,3.0,Standard
211,512.38,34212.01,2847.000833333333,340.0,10.0,261.1481566692852,18.0,66.6764133130149,8.12,3.0,Standard
212,512.38,34212.01,2847.000833333333,341.0,10.0,340.77854611507166,18.0,66.6764133130149,8.12,3.0,Poor
213,512.38,34212.01,2847.000833333333,342.0,10.0,391.09673595572576,18.0,66.6764133130149,8.12,3.0,Poor
214,784.35,24199.24,1951.6033333333328,257.0,6.0,392.5004253166014,28.0,13.886305431201704,1.67,1.0,Good
215,1054.86,16578.115,1426.5095833333337,273.0,15.0,345.3685717015637,10.0,21.42597208431386,13.29,2.0,Standard
216,1054.86,16578.115,1426.5095833333337,274.0,15.0,353.0481869304158,10.0,21.42597208431386,13.29,2.0,Standard
217,1054.86,16578.115,1426.5095833333337,275.0,15.0,342.9336539912948,10.0,21.42597208431386,13.29,2.0,Standard
218,1054.86,16578.115,1426.5095833333337,276.0,15.0,327.0782449284732,9.0,21.42597208431386,8.29,2.0,Standard
219,1054.86,16578.115,1426.5095833333337,278.0,15.0,347.3128567898549,10.0,21.42597208431386,17.29,2.0,Standard
220,1054.86,16578.115,1426.5095833333337,279.0,15.0,251.1709289596835,10.0,21.42597208431386,13.29,2.0,Standard
221,1054.86,16578.115,1426.5095833333337,280.0,15.0,323.85435911926857,10.0,21.42597208431386,13.29,2.0,Standard
222,1672.68,30502.54,2595.8783333333336,173.0,24.0,301.3545629479393,26.0,154.3933582633662,18.23,7.0,Poor
223,1672.68,30502.54,2595.8783333333336,174.0,24.0,207.17398752297623,28.0,154.3933582633662,18.23,7.0,Poor
224,1672.68,30502.54,2595.8783333333336,175.0,24.0,179.01484495446576,25.0,154.3933582633662,13.23,7.0,Poor
225,1672.68,30502.54,2595.8783333333336,177.0,24.0,248.61202968902225,25.0,154.3933582633662,18.23,7.0,Poor
226,1672.68,30502.54,2595.8783333333336,178.0,24.0,324.1972380442209,25.0,154.3933582633662,18.23,7.0,Poor
227,1672.68,30502.54,2595.8783333333336,179.0,24.0,175.60818977827998,25.0,154.3933582633662,18.23,7.0,Poor
228,1672.68,30502.54,2595.8783333333336,180.0,24.0,179.81167803009117,25.0,154.3933582633662,13.23,7.0,Poor
229,816.46,19853.35,1726.4458333333332,226.0,6.0,369.6677237480782,21.0,28.071965473150293,11.63,2.0,Standard
230,816.46,19853.35,1726.4458333333332,227.0,6.0,362.5423543897075,21.0,28.071965473150293,11.63,2.0,Standard
231,816.46,19853.35,1726.4458333333332,228.0,6.0,342.5079055255312,21.0,28.071965473150293,11.63,2.0,Standard
232,816.46,19853.35,1726.4458333333332,229.0,6.0,290.77643974089125,21.0,28.071965473150293,11.63,2.0,Standard
